762.505,0,-10.9963,3,0.7834,9,-3,303,4,2,2,NaN,NaN,NaN,4,1,3,NaN,NaN,NaN
848.1219,0,-10.8597,3,1.1675,11,-3,303,5,2,3,NaN,NaN,NaN,5,1,4,NaN,NaN,NaN
1035.4983,0,-10.714,3,1.6259,13,-3,303,6,2,4,NaN,NaN,NaN,6,1,5,NaN,NaN,NaN
1142.4911,0,-10.5824,3,2.2019,15,-3,303,7,3,4,NaN,NaN,NaN,7,2,5,NaN,NaN,NaN
1169.8199,0,-10.6136,3,1.6605,13,-3,303,6,3,3,NaN,NaN,NaN,6,2,4,NaN,NaN,NaN
1215.0929,0,-10.5358,3,2.8188,17,-3,303,8,3,5,NaN,NaN,NaN,8,2,6,NaN,NaN,NaN
1262.3286,0,-10.6523,3,1.1958,11,-3,303,5,3,2,NaN,NaN,NaN,5,2,3,NaN,NaN,NaN
1265.4003,0,-10.831,3,1.1253,11,-3,303,5,1,4,NaN,NaN,NaN,5,0,5,NaN,NaN,NaN
1328.6215,0,-10.5708,3,2.1575,15,-3,303,7,2,5,NaN,NaN,NaN,7,1,6,NaN,NaN,NaN
1373.6545,0,-10.7335,3,0.8089,9,-3,303,4,3,1,NaN,NaN,NaN,4,2,2,NaN,NaN,NaN
1378.2703,0,-10.8282,3,0.7552,9,-3,303,4,2,3,NaN,NaN,NaN,4,1,4,NaN,NaN,NaN
1406.7293,0,-10.469,3,3.5098,19,-3,303,9,3,6,NaN,NaN,NaN,9,2,7,NaN,NaN,NaN
1461.8158,0,-10.9364,3,0.5002,7,-3,303,3,3,0,NaN,NaN,NaN,3,2,1,NaN,NaN,NaN
1504.8947,0,-10.4226,3,4.3311,21,-3,303,10,4,6,NaN,NaN,NaN,10,3,7,NaN,NaN,NaN
1544.5957,0,-10.905,3,0.4974,7,-3,303,3,3,1,NaN,NaN,NaN,3,2,2,NaN,NaN,NaN
1558.2902,0,-10.3938,3,3.5567,19,-3,303,9,4,5,NaN,NaN,NaN,9,3,6,NaN,NaN,NaN
1566.2587,0,-10.4321,3,5.181,23,-3,303,11,4,7,NaN,NaN,NaN,11,3,8,NaN,NaN,NaN
1588.5615,0,-10.6575,3,0.8012,9,-3,303,4,3,2,NaN,NaN,NaN,4,2,3,NaN,NaN,NaN
1612.3749,0,-10.687,3,1.1264,11,-3,303,5,2,4,NaN,NaN,NaN,5,1,5,NaN,NaN,NaN
1658.4122,0,-10.662,3,1.5706,13,-3,303,6,1,5,NaN,NaN,NaN,6,0,6,NaN,NaN,NaN
1669.1725,0,-10.5188,3,1.1802,11,-3,303,5,3,3,NaN,NaN,NaN,5,2,4,NaN,NaN,NaN
1688.0015,0,-10.3604,3,2.8593,17,-3,303,8,4,4,NaN,NaN,NaN,8,3,5,NaN,NaN,NaN
1706.7064,0,-10.4436,3,2.7618,17,-3,303,8,2,6,NaN,NaN,NaN,8,1,7,NaN,NaN,NaN
1717.3501,0,-10.3932,3,4.2738,21,-3,303,10,3,7,NaN,NaN,NaN,10,2,8,NaN,NaN,NaN
1761.8218,0,-10.4188,3,6.1049,25,-3,303,12,4,8,NaN,NaN,NaN,12,3,9,NaN,NaN,NaN
1794.6038,0,-10.4211,3,1.634,13,-3,303,6,3,4,NaN,NaN,NaN,6,2,5,NaN,NaN,NaN
1842.4838,0,-10.3412,3,2.24,15,-3,303,7,4,3,NaN,NaN,NaN,7,3,4,NaN,NaN,NaN
1855.6417,0,-10.4294,3,7.1712,27,-3,303,13,5,8,NaN,NaN,NaN,13,4,9,NaN,NaN,NaN
1885.5931,0,-10.5761,3,1.5711,13,-3,303,6,2,5,NaN,NaN,NaN,6,1,6,NaN,NaN,NaN
1906.5149,0,-10.4819,3,8.2542,29,-3,303,14,5,9,NaN,NaN,NaN,14,4,10,NaN,NaN,NaN
1932.7122,0,-10.3566,3,6.1637,25,-3,303,12,5,7,NaN,NaN,NaN,12,4,8,NaN,NaN,NaN
1968.7488,0,-10.3457,3,2.1621,15,-3,303,7,3,5,NaN,NaN,NaN,7,2,6,NaN,NaN,NaN
1974.6955,0,-10.3573,3,1.6995,13,-3,303,6,4,2,NaN,NaN,NaN,6,3,3,NaN,NaN,NaN
2057.3837,0,-10.5357,3,2.0889,15,-3,303,7,1,6,NaN,NaN,NaN,7,0,7,NaN,NaN,NaN
2061.3476,0,-10.4384,3,1.2379,11,-3,303,5,4,1,NaN,NaN,NaN,5,3,2,NaN,NaN,NaN
2088.7326,0,-10.3923,3,7.1015,27,-3,303,13,4,9,NaN,NaN,NaN,13,3,10,NaN,NaN,NaN
2095.9535,0,-10.2761,3,5.2333,23,-3,303,11,5,6,NaN,NaN,NaN,11,4,7,NaN,NaN,NaN
2106.0005,0,-10.6556,3,0.8547,9,-3,303,4,4,0,NaN,NaN,NaN,4,3,1,NaN,NaN,NaN
2120.9593,0,-10.4189,3,1.2359,11,-3,303,5,4,2,NaN,NaN,NaN,5,3,3,NaN,NaN,NaN
2121.203,0,-10.3225,3,5.1103,23,-3,303,11,3,8,NaN,NaN,NaN,11,2,9,NaN,NaN,NaN
2122.0728,0,-10.6503,3,0.8542,9,-3,303,4,4,1,NaN,NaN,NaN,4,3,2,NaN,NaN,NaN
2129.1685,0,-10.3406,3,3.4388,19,-3,303,9,2,7,NaN,NaN,NaN,9,1,8,NaN,NaN,NaN
2132.2964,0,-10.3073,3,1.6939,13,-3,303,6,4,3,NaN,NaN,NaN,6,3,4,NaN,NaN,NaN
