%restart: now include fake lines (many but weak, kind of like satellites), and lowered height ratios to 12 or so.

4 rng CORRECT: cinn [4717.4 504.8 476.3] in 288.2 seconds [10000  20000] range 18399 flat,  160 upvotes on trial [5:JKABC=301]
4 rng CORRECT: cinn [4717.4 504.8 476.3] in 292.1 seconds [10000  20000] range 18399 flat,  160 upvotes on trial [5:JKABC=301]
41 rng CORRECT: menthone1 [1272.2 416.3 334.2] k=-0.825, in 614.9 seconds [10000  20000] range 28767 flat,  332 upvotes on trial [11:JKABC=211]
42 rng CORRECT: menthone1 [1220.4 674.0 492.3] k=-0.501, in 368.4 seconds [10000  20000] range 20280 flat,  250 upvotes on trial [11:JKABC=211]
43 rng CORRECT: menthone1 [1040.4 446.6 345.9] k=-0.710, in 429.6 seconds [10000  20000] range 21915 flat,  298 upvotes on trial [11:JKABC=211]
44 rng CORRECT: menthone1 [1242.9 448.3 414.1] k=-0.918, in 400.3 seconds [10000  20000] range 22664 flat,  236 upvotes on trial [13:JKABC=311]
45 rng CORRECT: menthone1 [872.0 463.0 401.0] k=-0.737, in 404.7 seconds [10000  20000] range 23637 flat,  273 upvotes on trial [19:JKABC=221]
46 rng CORRECT: menthone1 [1281.1 588.6 539.8] k=-0.868, in 287.9 seconds [10000  20000] range 17178 flat,  253 upvotes on trial [5:JKABC=301]
47 rng CORRECT: menthone1 [914.4 683.9 491.1] k=-0.089, in 365.7 seconds [10000  20000] range 16508 flat,  262 upvotes on trial [19:JKABC=221]
48 rng CORRECT: menthone1 [1794.9 464.3 427.6] k=-0.946, in 424.4 seconds [10000  20000] range 22699 flat,  185 upvotes on trial [5:JKABC=301]
49 rng CORRECT: menthone1 [1826.4 562.5 434.1] k=-0.816, in 375.6 seconds [10000  20000] range 19538 flat,  282 upvotes on trial [5:JKABC=301]
50 rng CORRECT: menthone1 [1361.1 372.9 324.5] k=-0.907, in 518.9 seconds [10000  20000] range 26669 flat,  309 upvotes on trial [11:JKABC=211]
51 rng CORRECT: menthone1 [1353.1 350.5 311.4] k=-0.925, in 587.7 seconds [10000  20000] range 28770 flat,  183 upvotes on trial [11:JKABC=211]
52 rng CORRECT: menthone1 [844.5 678.1 579.7] k=-0.257, in 361.6 seconds [10000  20000] range 20551 flat,  268 upvotes on trial [21:JKABC=321]
53 rng CORRECT: menthone1 [1194.1 521.9 423.2] k=-0.744, in 441.5 seconds [10000  20000] range 23846 flat,  271 upvotes on trial [11:JKABC=211]
54 rng CORRECT: menthone1 [1720.6 593.4 471.0] k=-0.804, in 296.8 seconds [10000  20000] range 17202 flat,  252 upvotes on trial [5:JKABC=301]
